Attack,R-PSNR mean,R-PSNR std,R-PSNR CI±,SSIM mean,SSIM std,SSIM CI±,MS-SSIM mean,MS-SSIM std,MS-SSIM CI±
Content Removal,40.48,2.34,1.80,0.9801,0.0055,0.0042,0.9967,0.0011,0.0009
Copy-Move,40.32,3.31,2.54,0.9794,0.0039,0.0030,0.9963,0.0009,0.0007
Splicing,37.62,3.80,2.92,0.9689,0.0109,0.0084,0.9938,0.0023,0.0017
JPEG ($Q=90$),39.30,2.26,1.74,0.9641,0.0143,0.0110,0.9958,0.0012,0.0009
Salt \& Pepper (0.05),39.71,2.37,1.82,0.9790,0.0040,0.0030,0.9965,0.0008,0.0006
Cropping (40\%),30.41,2.13,1.64,0.9224,0.0239,0.0184,0.9855,0.0033,0.0025
