Image,0.01,0.03,0.05,0.1
Boat,0.9948,0.9839,0.9740,0.9499
Chemicalplant,0.9947,0.9843,0.9744,0.9509
Clock,0.9957,0.9875,0.9787,0.9583
Houses,0.9958,0.9877,0.9796,0.9605
JetPlane,0.9955,0.9869,0.9780,0.9583
Lake,0.9952,0.9856,0.9763,0.9535
Mandril,0.9952,0.9855,0.9761,0.9537
Peppers,0.9948,0.9850,0.9750,0.9520
Walter-Cronkite,0.9944,0.9832,0.9714,0.9469
AVERAGE,0.9951,0.9855,0.9760,0.9538
