Image,Q=90,Q=70,Q=50,Q=30,Q=10
Boat,38.21,34.89,33.37,31.77,28.13
Chemicalplant,38.18,33.45,31.70,30.20,26.70
Clock,40.52,36.65,34.87,32.99,28.71
Houses,40.58,37.18,35.43,34.00,30.30
JetPlane,40.78,37.56,35.84,34.11,29.76
Lake,37.11,33.63,32.41,31.16,27.81
Mandril,35.73,30.13,27.95,26.31,23.40
Peppers,38.01,35.69,34.62,33.49,30.05
Walter-Cronkite,43.66,41.31,39.68,37.66,32.69
AVERAGE,39.20,35.61,33.99,32.41,28.62
